,year,world_rank,institution,country_name,total_score,award
0,2003,1,Harvard University,us,100.0,100.0
1,2003,2,Stanford University,us,83.5,76.2
2,2003,3,California Institute of Technology,us,76.3,72.9
3,2003,4,"University of California, Berkeley",us,74.0,75.0
4,2003,5,University of Cambridge,gb,73.4,91.1
5,2003,6,Massachusetts Institute of Technology (MIT),us,70.6,79.4
6,2003,7,Princeton University,us,62.5,60.5
7,2003,8,Yale University,us,61.1,49.2
8,2003,9,University of Oxford,gb,59.5,53.3
9,2003,10,Columbia University,us,59.1,64.5
10,2003,11,University of Chicago,us,57.0,87.1
11,2003,12,Cornell University,us,56.9,57.3
12,2003,13,"University of California, San Francisco",us,55.3,41.6
13,2003,14,"University of California, San Diego",us,54.4,14.2
14,2003,15,"University of California, Los Angeles",us,53.8,37.3
15,2003,16,University of Washington,us,50.3,34.4
16,2003,17,The Imperial College of Science,gb,50.1,42.2
17,2003,18,University of Pennsylvania,us,50.0,39.8
18,2003,19,The University of Tokyo,jp,49.4,18.3
19,2003,20,University College London,gb,48.9,28.5
20,2003,21,University of Michigan - Ann Arbor,us,48.8,21.4
21,2003,22,Washington University in St. Louis,us,47.8,30.5
22,2003,23,University of Toronto,ca,45.8,21.7
23,2003,24,The Johns Hopkins University,us,45.7,21.8
24,2003,25,Swiss Federal Institute of Technology Zurich,ch,45.6,39.9
25,2003,26,"University of California, Santa Barbara",us,45.3,32.7
26,2003,27,University of Wisconsin - Madison,us,45.0,24.6
27,2003,28,Rockefeller University,us,44.8,64.0
28,2003,29,Northwestern University,us,44.4,21.4
29,2003,30,Kyoto University,jp,43.6,24.7
30,2003,31,University of Colorado at Boulder,us,40.9,33.0
31,2003,32,Duke University,us,40.4,0.0
32,2003,32,Vanderbilt University,us,40.4,33.4
33,2003,34,The University of Texas Southwestern Medical Center at Dallas,us,39.5,41.4
34,2003,35,University of British Columbia,ca,38.2,21.4
35,2003,36,"University of California, Davis",us,38.1,0.0
36,2003,37,University of Minnesota,us,37.8,0.0
37,2003,38,Rutgers,us,37.2,22.5
38,2003,39,Karolinska Institute,se,36.8,30.9
39,2003,40,Pennsylvania State University - University Park,us,36.5,0.0
40,2003,40,University of Southern California,us,36.5,30.2
41,2003,40,Utrecht University,nl,36.5,23.6
42,2003,43,The University of Edinburgh,gb,36.0,18.9
43,2003,44,"University of California, Irvine",us,35.9,27.6
44,2003,45,University of Illinois at Urbana-Champaign,us,35.2,20.1
45,2003,45,University of Zurich,ch,35.2,30.2
46,2003,47,The University of Texas at Austin,us,35.0,18.9
47,2003,48,University of Munich,de,34.1,23.2
48,2003,49,Brown University,us,33.9,15.3
49,2003,49,The Australian National University,au,33.9,14.2
50,2003,51,Case Western Reserve University,us,33.2,12.9
51,2003,52,University of North Carolina at Chapel Hill,us,33.1,0.0
52,2003,53,Osaka University,jp,33.0,0.0
53,2003,53,University of Pittsburgh,us,33.0,0.0
54,2003,55,New York University,us,32.7,15.9
55,2003,55,University of Arizona,us,32.7,0.0
56,2003,55,University of Bristol,gb,32.7,20.2
57,2003,58,University of Heidelberg,de,32.2,31.4
58,2003,59,Uppsala University,se,32.1,34.4
59,2003,60,Technical University Munich,de,31.3,26.7
60,2003,61,Carnegie Mellon University,us,31.2,33.4
61,2003,61,Rice University,us,31.2,24.8
62,2003,63,University of Oslo,no,31.1,37.7
63,2003,64,Tohoku University,jp,30.5,0.0
64,2003,65,Pierre and Marie Curie University - Paris 6,fr,30.3,20.3
65,2003,65,University of Copenhagen,dk,30.3,31.4
66,2003,67,University of Virginia,us,30.0,0.0
67,2003,68,Nagoya University,jp,29.7,18.3
68,2003,68,The University of Sheffield,gb,29.7,15.9
69,2003,70,Texas A&M University - College Station,us,29.6,0.0
70,2003,70,University of Roma - La Sapienza,it,29.6,17.5
71,2003,72,University of Paris Sud (Paris 11),fr,29.5,20.4
72,2003,72,University of Rochester,us,29.5,10.0
73,2003,74,University of Helsinki,fi,29.3,20.2
74,2003,75,King's College London,gb,29.2,25.9
75,2003,75,University of Florida,us,29.2,0.0
76,2003,75,"University of Maryland, College Park",us,29.2,0.0
77,2003,78,Leiden University,nl,28.9,17.5
78,2003,79,McGill University,ca,28.4,0.0
79,2003,80,Purdue University - West Lafayette,us,28.3,18.9
80,2003,81,The Ohio State University - Columbus,us,28.1,0.0
81,2003,81,University of Utah,us,28.1,0.0
82,2003,83,Tufts University,us,27.9,18.9
83,2003,84,University of Groningen,nl,27.8,22.5
84,2003,84,University of Vienna,at,27.8,17.5
85,2003,86,McMaster University,ca,27.7,21.4
86,2003,87,Michigan State University,us,27.5,0.0
87,2003,88,"University of California, Riverside",us,27.3,0.0
88,2003,89,The University of Manchester,gb,27.1,21.4
89,2003,90,University of Iowa,us,27.0,0.0
90,2003,91,University of Goettingen,de,26.9,22.5
91,2003,92,University of Melbourne,au,26.8,15.9
92,2003,93,Lund University,se,26.5,0.0
93,2003,94,The Hebrew University of Jerusalem,il,26.2,0.0
94,2003,95,Free University of Berlin,de,26.1,24.2
95,2003,96,University of Basel,ch,26.0,19.2
96,2003,96,University of Illinois at Chicago,us,26.0,0.0
97,2003,98,Boston University,us,25.9,0.0
98,2003,99,Emory University,us,25.7,0.0
99,2003,99,Ghent University,be,25.7,17.5
100,2003,99,North Carolina State University - Raleigh,us,25.7,0.0
101,2003,102-151,Aarhus University,dk,,17.4
102,2003,102-151,Baylor College of Medicine,us,,0.0
103,2003,102-151,Catholic University of Leuven,be,,0.0
104,2003,102-151,Colorado State University,us,,0.0
105,2003,102-151,Dartmouth College,us,,0.0
106,2003,102-151,Ecole Normale Superieure - Paris,fr,,27.7
107,2003,102-151,Erasmus University Rotterdam,nl,,17.5
108,2003,102-151,Georgia Institute of Technology,us,,0.0
109,2003,102-151,Hokkaido University,jp,,0.0
110,2003,102-151,Indiana University Bloomington,us,,20.2
111,2003,102-151,Kyushu University,jp,,0.0
112,2003,102-151,Moscow State University,ru,,12.9
113,2003,102-151,National University of Singapore,sg,,0.0
114,2003,102-151,Oregon Health and Science University,us,,0.0
115,2003,102-151,Oregon State University,us,,0.0
116,2003,102-151,Rensselaer Polytechnic Institute,us,,0.0
117,2003,102-151,State University of New York at Stony Brook,us,,0.0
118,2003,102-151,Stockholm University,se,,22.5
119,2003,102-151,Tel Aviv University,il,,0.0
120,2003,102-151,The University of Alabama at Birmingham,us,,0.0
121,2003,102-151,The University of Georgia,us,,0.0
122,2003,102-151,The University of Glasgow,gb,,0.0
123,2003,102-151,The University of Queensland,au,,0.0
124,2003,102-151,The University of Texas Health Science Center at Houston,us,,0.0
125,2003,102-151,Tokyo Institute of Technology,jp,,0.0
126,2003,102-151,University of Alaska - Fairbanks,us,,0.0
127,2003,102-151,University of Alberta,ca,,0.0
128,2003,102-151,University of Amsterdam,nl,,0.0
129,2003,102-151,University of Birmingham,gb,,12.3
130,2003,102-151,University of Bonn,de,,23.9
131,2003,102-151,"University of California, Santa Cruz",us,,0.0
132,2003,102-151,University of Cincinnati,us,,0.0
133,2003,102-151,University of Cologne,de,,14.3
134,2003,102-151,University of Freiburg,de,,23.6
